foxmail.com.cn,smtp.foxmail.com.cn
mail.bodachina.com,mail.bodachina.com
21cn.com,smtp.21cn.com
sina.com,smtp.sina.com
sina.com.cn,smtp.sina.com.cn
vip.sina.com,smtp.vip.sina.com.cn
163.net,smtp.163.net
tom.com,smtp.tom.com
163.com,smtp.163.com
126.com,smtp.126.com
fm365.com,mail.fm365.com
263.net,smtp.263.net
x263.net,smtp.x263.net
263.net.cn,263.net.cn
elong.com,smtp.elong.com
km169.net,email.km169.net
cmmail.com,smtp.cmmail.com
china.com,smtp.china.com
cww.com,smtp.china.com
eazier.com,smtp.eazier.com
sohu.com,smtp.sohu.com
fd21.com,smtp.fd21.com
online.sh.cn,online.sh.cn
yeah.net,smtp.yeah.net
netease.com,smtp.netease.com
etang.com,smtp.free.etang.com
myrice.com,smtp.myrice.com
wx88.net,mail.wx88.net
email.com.cn,www.email.com.cn
tonghua.com.cn,smtp.tonghua.com.cn
371.net,smtp.371.net
kali.com.cn,smtp.kali.com.cn
focus.com.cn,smtp.focus.com.cn
8848.net,smtp.8848.net
mailbox.com.cn,email.com.cn
990.net,990.net
88998.com,202.100.222.86
2911.net,smtp.2911.net
soim.net,freemail.soim.com
777.net.cn,mail.777.net.cn
telekbird.com.cn,smtp.telekbird.com.cn
btamail.net.cn,btamail.net.cn
gzyp21.net,gzyp21.net
freemail.online.tj.cn,freemail.online.tj.cn
363.net,smtp.363.net
w4f.com,smtp.email.com.cn
dl163.com,www.dl163.com
chinaxian.com,www.email.com.cn
2888.com,2888.com
yes100.com,smtp.yes100.com
chinese.com,smtp.chinese.com
yifan.net,yifan.net
china183.com,mail.china183.com
20520.com,smtp.20520.com
elawchina.com,smtp.elawchina.com
fugao.net,smtp.email.com.cn
mybada.net,smtp.mybada.net
gz168.net,email.gz168.net
kzinfo.net,mail.kzinfo.net
7119.net,smtp.7119.net
ccidnet.com,smtp.ccident.com
cfe21.com,www.cfe21.com
etang.com,smtp.etang.com
hnet.com.cn,smtp.email.com.cn
nethao.com,freemail.nethao.com
soyou.net,smtp.soyou.net
newstar.com.cn,smtp.email.com.cn
cityhot.com,citymail.cityhot.com
dfworld.net,mail.dfworld.net
gzboy.com,www.email.com.cn
fengyun.net,freemail.fengyun.net
citiz.net,smtp.citiz.net
tt.zj.cn,smtp.email.com.cn
100m.hl.cninfo.net,100m.hl.cninfo.net
dg.163mail.net,dg.163mail.net
public.guangzhou.gd.cn,public.guangzhou.gd.cn
bodachina.com,smtp.bodachina.com
freemail.nx.cninfo.net,freemail.nx.cninfo.net
softhome.net,smtp.SoftHome.net
yesky.com,smtp.yesky.com
alibaba.com,smtp.alibaba.com
mweb.com.cn,smtp.mweb.com.cn
km169.net,email.km169.net
wocall.com,wocall.com
guohao.com,guohao.com
bjmail.net,bjmail.net
gzpublic.guangzhou.gd.cn,gzpublic.guangzhou.gd.cn
cnuninet.com,smtp.bj.cnuninet.com
cmmail.com,smtp.cmmail.com
peoplemail.com.cn,smtp.peoplemail.com.cn
21cn.net,smtp.21cn.net
sh163.net,mail.sh163.net
avl.com.cn,smtp.avl.com.cn
thmz.com,smtp.thmz.com
vip.km169.net,vip.km169.net
yahoo.com,smtp.mail.yahoo.com
yahoo.com.tw,smtp.mail.yahoo.com.tw
yahoo.com.hk,smtp.mail.yahoo.com.hk
yahoo.com.mx,smtp.mail.yahoo.com.mx
yahoo.com.br,smtp.mail.yahoo.com.br
yahoo.com.ar,smtp.mail.yahoo.com.ar
yahoo.com.au,smtp.mail.yahoo.com.au
yahoo.co.kr,smtp.mail.yahoo.co.kr
yahoo.co.uk,smtp.mail.yahoo.co.uk
yahoo.co.jp,smtp.mail.yahoo.co.jp
yahoo.ca,smtp.mail.yahoo.ca
yahoo.dk,smtp.mail.yahoo.dk
yahoo.de,smtp.mail.yahoo.de
yahoo.fr,smtp.mail.yahoo.fr
yahoo.es,smtp.mail.yahoo.es
yahoo.it,smtp.mail.yahoo.it
yahoo.se,smtp.mail.yahoo.se
yahoo.no,smtp.mail.yahoo.no
gmail.com,smtp.gmail.com,465,yes
hotmail.com,smtp.live.com,25,yes
qq.com,smtp.qq.com
aol.com,smtp.aol.com,587
